row_id,paper_id,discipline,term,evidence,decision,note
1,friis2017-nudge,behavioral-economics,mean,"3 Mean ± SD, all such values.",,
2,perlmutter1999-omega-lambda,astronomy,Bayesian,"We have compared the results of Bayesian and classical, “fre- quentist,” fitting procedures.",,
3,sivroni2023-auditory,neuroscience,variance,"During the example ses- sion, response times during CPTs and IPTs did not exhibit distinct medians (p = 0.15, U-test) or distinct variances (p = 0.49, permutation test).",,
4,sivroni2023-auditory,neuroscience,bootstrap,"We quantied the ‘‘priming effect’’ in success rates by the difference between CPT and IPT success rates, which was 17% in the example session (p = 0.011, permutation test).",,
5,schmidhuber2015-deep-learning,artificial-intelligence,variance,Few bits of information are required to describe low-precision weights with high variance.,,
6,friis2017-nudge,behavioral-economics,hypothesis-testing,"The study had hoped to have a more representative sample, but it was not a requirement of the study’s design nor a theoretical basis for the alternative hypothesis’ expected effect",,
7,love2014-deseq2,genetics,p-value,"Often the goal of differential analysis is to produce a list of genes passing multiple-test adjustment, ranked by P value.",,
8,atlas2012-higgs,physics,standard-deviation,"production of a neutral boson with a measured mass of 126.0 This observation, which has a significance of 5.9 standard deviations, corresponding to a background 9, is compatible wi",,
9,simonyan2014-vgg,artificial-intelligence,statistical-significance,"As a result, we come up with significantly more accurate ConvNet architectures, which not only achieve the state-of-the-art accuracy on ILSVRC classification and localisation tasks",,
10,perlmutter1999-omega-lambda,astronomy,standard-deviation,.) The confidence regions of Figure 5(c) and the Ωflat M results in Table 3 show that the cosmological parameters found for Fit H differ by less than half of a standard deviation f,,
11,kingma2013-vae,artificial-intelligence,regression,Fixed-form variational posterior approximation through stochastic linear regression.,,
12,he2015-resnet,artificial-intelligence,standard-deviation,Standard deviations (std) of layer responses on CIFAR- 10.,,
13,niv2009-rl-brain,neuroscience,regression,"For instance, using general linear regression, Bayer and 13 Figure 3: Dopaminergic firing patterns comply with the predictions of TD learning.",,
14,greentao2004-primes,mathematics,mean,We observe that (1 + Om(p− 1/2)) 6 (1 + p− 1/2) Om(1) ∆ Yp | 16i<j6m (cid:18) Yp hi− By the arithmetic mean-geometric mean inequality (absorbing all constants into the 1/2)Om(1) fo,,
15,logan1990-automaticity,cognitive-psychology,statistical-significance,"These effects were confirmed by ANOVA: The main effect of word vs nonword was significant, F(1,50) = 119.43, p --c .Ol, MS, = 3220.48, as was the main effect of presentations, F(9,",,
16,kingma2013-vae,artificial-intelligence,chi-square,"Examples: Log-Normal (exponentiation of normally distributed variable), Gamma (a sum over exponentially distributed variables), Dirichlet (weighted sum of Gamma variates), Beta, Ch",,
17,reagan2016-emotional-arcs,literature,variance,"05) (3) We use Ward’s method to generate a hierarchical clus- tering of stories, which proceeds by minimizing variance for a node k in the set of nodes , with distance func- tion D",,
18,stroop1935-interference,cognitive-psychology,mean,The correction changed the mean on the NCfFd test from 108.7t0 IX°-3 a>»d the mean of the NC test from 63.0 to 63.3.,,
19,hansen2013-climate-change,earth-science,median,"A probabilistic analysis [20], still partly subjective, found a median ‘‘dangerous’’ threshold of 2.8uC, with 95% confidence that threshold was 1.5uC or higher.",,
20,hamilton2016-diachronic-embeddings,digital-humanities,correlation,"Across datasets, we found Pearson correlations in the range 0.45 < r < 0.8 (all p < 0.05), confirm- ing frequent words tend to be used in a greater di- versity of contexts.",,
21,dwork2012-fairness,law,statistical-significance,"Moreover, the mechanism is significantly more efficient than the general linear program.",,
22,scarborough1977-lexical,cognitive-psychology,hypothesis-testing,Experiment 2 was designed to test this hypothesis.,,
23,miller1956-magical-number,psychology,statistical-significance,"Since these two studies were done in different laboratories with slightly different techniques and methods of analysis, we are not in a good position to argue whether five loudness",,
24,gu2020-ml-asset-pricing,quantitative-finance,hypothesis-testing,The GRS-test is under the null hypothesis of correctly pricing all decile portfolios and includes the p-values.,,
25,clauset2009-power-law-data,statistics,confidence-interval,"ack line shows the rate of misclassification (over 1000 repetitions) of power law samples as log-normals (95% confidence interval shown in grey), while the blue (dashed) line shows",,
26,bargh1996-social,social-psychology,variance,"A one-way analysis of variance (ANOVA) of these data, with priming condition as the single factor, revealed a significant main effect, F(2, 33) = 5.76, p = .008.",,
27,gu2020-ml-asset-pricing,quantitative-finance,p-value,The GRS-test is under the null hypothesis of correctly pricing all decile portfolios and includes the p-values.,,
28,clauset2009-power-law-data,statistics,variance,"m this kind of fitting, provide estimates and standard errors for the slope, and calculate the fraction r2 of variance accounted for by the fitted line, which is taken as an indica",,
29,hamilton2016-diachronic-embeddings,digital-humanities,Bayesian,"ing: perhaps people are more likely to use rare words mistakenly in novel ways, a mechanism for- malizable by Bayesian models of word learning and corresponding to the biological n",,
30,bock1986-syntactic,linguistics,hypothesis-testing,"An alternative hypothesis is that it is not type- or token-based sentence representations that are responsible for the repetition effect, but the syn- tactic processes responsible ",,
31,kozlowski2019-geometry-culture,digital-humanities,variance,A key finding from this method is that much of the variance across all dimensions tested can be explained by just three core factors: Evaluation (good vs.,,
32,niv2009-rl-brain,neuroscience,bootstrap,"he soundness and convergence of ‘policy iteration’ methods (in which a policy is iteratively improved through bootstrapping of the values derived given each policy; Howard, 1960; B",,
33,hoffman2013-svi,statistics,regression,"any variants) (Kalman, 1960; Fox et al., 2011a), factorial models (Ghahramani and Jordan, 1997), hierarchical linear regression models (Gelman and Hill, 2007), hierarchical probit ",,
34,levine2016-visuomotor,robotics,regression,"A simple way to fit these linear-Gaussian dynamics is to use linear regression to determine fx, fu, and fc, and fit Ft based on the errors.",,
35,candes2009-matrix-completion,mathematics,sample-size,matrices from on the order of nr—up to logarithmic multiplicative factors—randomly selected entries? Can the sample size be merely proportional to the true complexity of the low-ra,,
36,garimella2018-political-discourse,political-science,p-value,"A ✓ indicates that the corresponding feature is significantly higher for the group of the column (p < 0.001) for at least 4 of the 6 thresh- olds δ used, for most datasets.",,
37,ferraro2009-brand,marketing,standard-deviation,", type of group (i.e., 0 p out-group, 1 p in-group), and the value of construal at one standard de- viation below the mean (4 A), at the mean (4 B), and at one standard deviation a",,
38,planck2018-cosmology,astronomy,Bayesian,"Phys., 102, 48, arXiv:1804.09678 Cardona, W., Kunz, M., & Pettorino, V., Determining H0 with Bayesian hyper- parameters.",,
39,logan1990-automaticity,cognitive-psychology,hypothesis-testing,three empirical parallels between repetition priming and automaticity predicted by the instance theory and to test hypotheses about possible associative bases of repeti- tion primi,,
40,ugander2011-facebook-graph,sociology,statistical-significance,Restricting the comparison to individuals age 13 or more and with access to the internet (the set of individuals eligible to have Facebook accounts) would put this percentage signi,,
41,reagan2016-emotional-arcs,literature,sample-size,"The cluster ID is given by numbering the clusters in order of linkage starting at 0, with each individual book representing a cluster of size 1 such that the final cluster (all boo",,
42,garimella2018-political-discourse,political-science,Bayesian,Birds of the Same Feather Tweet Together: Bayesian Ideal Point Estimation Using Twitter Data.,,
43,cook2013-climate-consensus,earth-science,statistical-significance,The average numbers of authors per endorsement abstract (3.4) and per no position abstract (3.6) are both significantly larger than the average number of authors per rejection abst,,
44,mcmahon-olson2007-suppression,neuroscience,false-discovery-rate,"Signicance of kernels was evaluated for each monkey and each lag by rank-sum tests, with Bonferroni correction.",,
45,newman2003-complex-networks,network-science,statistical-significance,"This assumption however degree distribution pk ∼ can give misleading results; in many cases there will be vertices in the network with significantly higher degree than this, as dis",,
46,friis2017-nudge,behavioral-economics,ANOVA,"Oneway ANOVA with post hoc test was performed to explore any changes between the three nudges for: total intake, total chilli con carne intake, total rice intake and total vegetabl",,
47,preskill2018-nisq,quantum-computing,correlation,"Laughlin and Pines [8] emphasized in the statement I quoted earlier, we think that simulating such “strongly correlated” matter is a difficult computational problem, because many v",,
48,garimella2018-political-discourse,political-science,statistical-significance,Table 2 (second column) summarizes the results for partisan users and lists the features for which the difference is statistically significant on a majority of the datasets.,,
49,love2014-deseq2,genetics,mean,"1 and the rlog transformation, show- ing that the rlog both stabilizes the variance through the range of the mean of counts and helps to find meaningful patterns in the data.",,
50,scarborough1977-lexical,cognitive-psychology,ANOVA,"Responses to first and second presenta- tions of words were further analyzed in a six-way analysis of variance, with factors of response bias, presentation (first or second), case ",,
51,ioannidis2005-false-findings,statistics,Bayesian,"As has been shown previously, the probability that a research fi nding is indeed true depends on the prior probability of it being true (before doing the study), the statistical po",,
52,onnela2007-tie-strengths,sociology,p-value,"The green (◊), red ((cid:31)), and blue (ο) curves are associated with system sizes , ≈N , and they were obtained using resampling extraction with node occupation probabilities p=0",,
53,grover2016-node2vec,network-science,sample-size,The opposite is true for DFS which can explore larger parts of the network as it can move further away from the source node u (with sample size k being fixed).,,
54,geim2007-rise-graphene,materials-science,mean,Bilayer graphene: short range intera tions in 1956) sin e mean (cid:28)eld al ulations give a riti al value for U to be of the order of U/t 1.7.,,
55,grilli2016-ecological-modularity,ecology,mean,"This directionality proved important in our previous study36, where we showed that when the mean of the negative effects dominates that of the positive effects, systems built accor",,
56,ongaro2014-raft,computer-science,statistical-significance,"Each implementation begins with Paxos, dis- covers the difficulties in implementing it, and then de- velops a significantly different architecture.",,
57,niv2009-rl-brain,neuroscience,p-value,"Moreover, conditioned stimuli predicting probabilistic rewards or rewards 14 abc010101015152501p=0 p=0.25 p=0.5 p=0.75 p=1 stimulusonrewardor stimulus offstimulusonrewardor stimulu",,
58,abbott2017-gw170817,astronomy,correlation,"The individual masses are in the broad range of 0.86 to 2.26 M⊙, due to correlations between their uncertainties.",,
59,planck2018-cosmology,astronomy,p-value,"PArthENoPE predicts Y BBN P = 0.24672 +(0.00011)0.00061 −(0.00012)0.00061 (95 %, TT,TE,EE+lowE), (72a) while PRIMAT gives Y BBN P = 0.24714 +(0.00012)0.00049 −(0.00013)0.00049 (95 ",,
60,kozlowski2019-geometry-culture,digital-humanities,confidence-interval,"For 90% confidence intervals, we randomly partition the corpus into 20 subcorpora, then calculate the error of our for each subsample s em",,
61,vonelm2007-strobe,medicine,odds-ratio,"gory boundaries when continuous variables were categorized (c) If relevant, consider translating estimates of relative risk into absolute risk for a meaningful time period Report o",,
62,abbott2017-gw170817,astronomy,null-hypothesis,"The estimated Hubble flow velocity near NGC 4993 of 3017 (cid:2) 166 km s−1 [141] provides a redshift, which in a flat cosmology with H0 1⁄4 67.90 (cid:2) 0.55 km s−1 Mpc−1 [90], c",,
63,mcmahon-olson2007-suppression,neuroscience,regression,"To answer these questions, we conducted a linear regression analysis on the visual responses evoked by rst and second presentations across all cases in which the monkey",,
64,srivastava2014-dropout,artificial-intelligence,p-value,All dropout nets use p = 0.5 for hidden units and p = 0.8 for input units.,,
65,ioannidis2005-false-findings,statistics,hypothesis-testing,"Hsueh HM, Chen JJ, Kodell RL (2003) Comparison of methods for estimating the number of true null hypotheses in multiplicity testing.",,
66,scarborough1977-lexical,cognitive-psychology,mean,"For high- frequency words, each word averaged 6.2 neighbors as compared with an average of 7.9 neighbors for low-frequency words, which is a nonsignificant difference, £(66) = 0.4,",,
67,bouchaud2008-market-impact,quantitative-finance,hypothesis-testing,have used membership codes of the London Stock Exchange to test the hypothesis of the theory presented in Lillo et al.,,
68,vohs2006-money,economics,chi-square,"In the last sentence of the fourth-to-last paragraph, “t(34)” should h ave been “χ2 (1)” .",,
69,jitendra2016-math,education,statistical-significance,ptable-quality studies supporting the practice and the weighted effect size with a 95% confidence interval is significantly greater than zero; a practice is considered promising wh,,
70,ioannidis2005-false-findings,statistics,null-hypothesis,"Hsueh HM, Chen JJ, Kodell RL (2003) Comparison of methods for estimating the number of true null hypotheses in multiplicity testing.",,
71,gomez-bombarelli2018-molecular-design,chemistry,regression,"omatically build an even larger implicit library, and then use the smaller set of labeled examples to build a regression model from the continuous representation to the desired pro",,
72,kahneman-tversky1979-prospect,psychology,statistical-significance,"Each of these preferences is significant at the .01 level, as denoted by the asterisk.",,
73,riess1998-accelerating-universe,astronomy,null-hypothesis,"The likelihood for the cosmological parameters can be determined from a χ2 statistic, where χ2(H0, ΩM , ΩΛ) = i X (μp,i(zi; H0, Ωm, ΩΛ) − μ0,i)2 μ0,i + σ2 σ2 v (4) – 12 – and σv is",,
74,wager2018-causal-forests,statistics,sample-size,"nd classical analysis tools going back to Hoeffding [1948] and H ́ajek [1968], we show that—provided the sub- sample size s scales appropriately with n—the predictions made by a ca",,
